78953, NaN
78954, 93.55 %
78956, 36.36 %
78957, 106.35 %
78959, NaN
78962, 85.19 %
78963, NaN
79001, NaN
79005, -100.00 %
79007, 66.67 %
79009, NaN
79011, -100.00 %
79012, -20.00 %
79013, NaN
79014, -39.85 %
79015, 52.34 %
79018, NaN
79019, Infinity
79022, 25.00 %
79024, NaN
79027, 2.56 %
79029, 26.32 %
79031, NaN
79034, NaN
79035, 30.43 %
79036, 100.00 %
79039, NaN
79040, -18.92 %
79041, NaN
79042, NaN
79043, NaN
79044, NaN
79045, 8.91 %
79046, NaN
79052, NaN
79057, NaN
79059, -100.00 %
79061, NaN
79062, NaN
79063, NaN
79064, NaN
79065, -11.11 %
79068, 36.36 %
79070, -26.32 %
79072, 16.67 %
79079, -31.03 %
79080, NaN
79081, -10.71 %
79082, NaN
79083, Infinity
79084, 25.00 %
79086, NaN
79087, NaN
79088, -14.29 %
79092, Infinity
79095, -31.03 %
79096, -57.75 %
79097, NaN
79098, NaN
79101, -9.09 %
79102, 16.28 %
79103, NaN
79104, NaN
79106, 1.45 %
79107, NaN
79108, 29.03 %
79109, 19.52 %
79110, 38.89 %
79111, NaN
79118, 71.97 %
79119, 60.75 %
79121, 2.13 %
79124, 51.60 %
79201, 25.00 %
79225, NaN
79226, -100.00 %
79227, NaN
79229, NaN
79235, 48.15 %
79237, NaN
79241, NaN
79244, NaN
79245, NaN
79248, NaN
79250, -100.00 %
79252, NaN
79255, NaN
79256, NaN
79257, NaN
79261, NaN
79311, -3.23 %
79312, NaN
79313, NaN
79316, -7.89 %
79322, -100.00 %
79323, 40.63 %
79325, -9.09 %
79329, 17.65 %
79331, 11.94 %
79336, 21.02 %
79339, 37.93 %
79342, NaN
79343, NaN
79345, NaN
79346, NaN
79347, 8.11 %
79350, NaN
79351, -100.00 %
79355, Infinity
79356, -34.78 %
79357, -100.00 %
79358, Infinity
79359, 50.00 %
79360, 46.34 %
79363, 96.43 %
79364, 33.33 %
79366, 14.75 %
79367, NaN
79370, NaN
79371, NaN
79372, NaN
79373, -2.44 %
79377, NaN
79379, NaN
79381, Infinity
79382, 60.00 %
79401, 36.36 %
79403, 17.65 %
79404, NaN
79407, 33.33 %
79410, 27.66 %
79411, NaN
79412, NaN
79413, 40.74 %
79414, 25.00 %
79415, 47.06 %
79416, 11.11 %
79423, 64.09 %
79424, 67.11 %
79501, NaN
79502, NaN
79504, Infinity
79506, NaN
79508, Infinity
79510, 38.89 %
79511, Infinity
79512, -9.09 %
79520, NaN
79521, -9.09 %
79525, NaN
79526, NaN
79527, NaN
79528, NaN
79529, NaN
79530, NaN
79532, NaN
79533, NaN
79536, Infinity
79538, NaN
79541, Infinity
79543, NaN
79544, NaN
79545, NaN
79546, NaN
79547, NaN
79549, 0.72 %
79553, -13.04 %
79556, 69.01 %
79561, NaN
79562, 171.19 %
79563, NaN
79565, NaN
79566, NaN
